Parameter,True_Value,PSO_Estimate,PSO_Error_Percent,MCMC_Estimate,MCMC_Error_Percent,Best_Method
Distance (Mpc),3100.00,2072.65,33.1404,3.30,99.8936,PSO
Chirp Mass (M☉),30.0900,30.1236,0.1118,30.1234,0.1111,MCMC
Merger Time (s),7.5000,4.8857,34.8570,7.5000,0.0001,MCMC
Phase (π),0.250000,0.743153,24.6577,0.233807,0.8097,MCMC
Flux Ratio,0.333300,0.148021,55.5894,0.132234,60.3258,PSO
Time Delay (s),0.985400,0.995159,0.9904,0.995385,1.0133,PSO
Execution Time (s),N/A,883.27,N/A,567.72,N/A,PSO
SNR,N/A,723.3336,N/A,21078113781.7316,N/A,MCMC
Match Score,N/A,0.874639,N/A,0.874902,N/A,MCMC
Average Parameter Error (%),N/A,24.8911,N/A,27.0256,N/A,PSO
