Parameter,True_Value,PSO_Estimate,PSO_Error_Percent,MCMC_Estimate,MCMC_Error_Percent,Best_Method
Distance (Mpc),3100.00,13.27,99.5721,0.07,99.9978,PSO
Chirp Mass (M☉),30.0900,30.1298,0.1323,30.1325,0.1412,PSO
Merger Time (s),7.5000,7.5000,0.0004,4.7846,36.2049,PSO
Phase (π),0.250000,0.749817,24.9909,0.238082,0.5959,MCMC
Flux Ratio,0.333300,0.146333,56.0957,0.141127,57.6577,PSO
Time Delay (s),0.985400,0.995236,0.9982,0.995335,1.0083,PSO
Execution Time (s),N/A,1037.06,N/A,504.42,N/A,MCMC
SNR,N/A,3457.8198,N/A,675123.1742,N/A,MCMC
Match Score,N/A,0.875128,N/A,0.874616,N/A,PSO
Average Parameter Error (%),N/A,30.2982,N/A,32.6010,N/A,PSO
